Label Name,Catalog,Release Artist,Release Name,Track Artist,Track Title,Mix Name,Format,Sale Type,Qty,Value,Deal,Royalty,ISRC,EAN,Store Name
Tropical Twista Records,TTR001,Various Artists,V/A - Tropical Twista Records Vol. 1,Salvador Araguaya,Mantiqueira,Original Mix,Stream,Track,2,0.01144908696862,0.95,0.010876632620189,DEBE72300206,5054287276899,Amazon Music Unlimited
Tropical Twista Records,TTR001,Various Artists,V/A - Tropical Twista Records Vol. 1,Salvador Araguaya,Mantiqueira,Original Mix,Stream,Track,12,0.0513213939,0.95,0.048755324205,DEBE72300206,5054287276899,Apple Music
Tropical Twista Records,TTR001,Various Artists,V/A - Tropical Twista Records Vol. 1,Salvador Araguaya,Mantiqueira,Original Mix,Stream,Track,100,0.0021646688,0.95,0.00205643536,DEBE72300206,5054287276899,Facebook
Tropical Twista Records,TTR001,Various Artists,V/A - Tropical Twista Records Vol. 1,Salvador Araguaya,Mantiqueira,Original Mix,Stream,Track,54,0.10292652949948,0.95,0.097780203024506,DEBE72300206,5054287276899,Spotify
Tropical Twista Records,TTR001,Various Artists,V/A - Tropical Twista Records Vol. 1,Salvador Araguaya,Mantiqueira,Original Mix,Stream,Track,6,0.01904061645025,0.95,0.018088585627737,DEBE72300206,5054287276899,YouTube
Tropical Twista Records,TTR001,Various Artists,V/A - Tropical Twista Records Vol. 1,Bmind,Finding Flying Choices,Original Mix,Stream,Track,2,0.0041427223146,0.95,0.00393558619887,DEBE72300207,5054287276899,Spotify
Tropical Twista Records,TTR001,Various Artists,V/A - Tropical Twista Records Vol. 1,Bmind,Finding Flying Choices,Original Mix,Stream,Track,9,0.02805736727484,0.95,0.026654498911098,DEBE72300207,5054287276899,YouTube
Tropical Twista Records,TTR001,Various Artists,V/A - Tropical Twista Records Vol. 1,Pandemonius,A Fauna Púrpura Mântrica,Original Mix,Stream,Track,1,0.0074620678,0.95,0.00708896441,DEBE72300209,5054287276899,Apple Music
Tropical Twista Records,TTR001,Various Artists,V/A - Tropical Twista Records Vol. 1,Pandemonius,A Fauna Púrpura Mântrica,Original Mix,Stream,Track,1,0.0020713611573,0.95,0.001967793099435,DEBE72300209,5054287276899,Spotify
Tropical Twista Records,TTR001,Various Artists,V/A - Tropical Twista Records Vol. 1,Pandemonius,A Fauna Púrpura Mântrica,Original Mix,Stream,Track,3,0.00935245575828,0.95,0.008884832970366,DEBE72300209,5054287276899,YouTube
Tropical Twista Records,TTR001,Various Artists,V/A - Tropical Twista Records Vol. 1,Cardso,Prumirim,Original Mix,Stream,Track,2,0.00365215938601,0.95,0.0034695514167095,DEBE72300210,5054287276899,Spotify
Tropical Twista Records,TTR001,Various Artists,V/A - Tropical Twista Records Vol. 1,Cardso,Prumirim,Original Mix,Stream,Track,1,0.00311748525276,0.95,0.002961610990122,DEBE72300210,5054287276899,YouTube
