Label Name,Catalog,Release Artist,Release Name,Track Artist,Track Title,Mix Name,Format,Sale Type,Qty,Value,Deal,Royalty,ISRC,EAN,Store Name
Tropical Twista Records,,TEST,Test,BirdZzie,En Tu Puerta Estamos Cuatro,BirdZzie Remix,Stream,Track,31,1.2501539746879,0.95,1.1876462759535,QZNRS2038186,,SoundCloud
Tropical Twista Records,,TEST,Test,Yaguareté,Bachianas Brasileiras N5,Yaguareté Rework,Stream,Track,2,0.0007353467092,0.95,0.00069857937374,QZJRB1957380,,SoundCloud
Tropical Twista Records,,TEST,Test,Gonz Cabrera,Pedacitos,Original Mix,Stream,Track,4,0.00258015221627,0.95,0.0024511446054565,QZKDK2389020,,SoundCloud
Tropical Twista Records,,TEST,Test,Antonio Carlos & Jocafi,Ossain,Nirso Remix,Stream,Track,4,0.0024657762164,0.95,0.00234248740558,QZNRS2038376,,SoundCloud
Tropical Twista Records,,TEST,Test,Juaneco Y Su Combo,Ya Se Ha Muerto Mi Abuelo,Nacho Libre Remix,Stream,Track,1,0.00390872406801,0.95,0.0037132878646095,QZNRS2038400,,SoundCloud
Tropical Twista Records,,TEST,Test,Cantina Y Su Combo,Santa Marta Cumbia,Nacho Libre Remix,Stream,Track,1,0.00035900738879,0.95,0.0003410570193505,QZNRS2038336,,SoundCloud
Tropical Twista Records,TTR001,Various Artists,V/A - Tropical Twista Records Vol. 1,Salvador Araguaya,Mantiqueira,Original Mix,Stream,Track,1,0.01004969347345,0.95,0.0095472087997775,DEBE72300206,5054287276899,Amazon Music Unlimited
Tropical Twista Records,TTR001,Various Artists,V/A - Tropical Twista Records Vol. 1,Salvador Araguaya,Mantiqueira,Original Mix,Stream,Track,2,0.0066950285,0.95,0.006360277075,DEBE72300206,5054287276899,Apple Music
Tropical Twista Records,TTR001,Various Artists,V/A - Tropical Twista Records Vol. 1,Salvador Araguaya,Mantiqueira,Original Mix,Stream,Track,2,0.00408851955422,0.95,0.003884093576509,DEBE72300206,5054287276899,Deezer
Tropical Twista Records,TTR001,Various Artists,V/A - Tropical Twista Records Vol. 1,Salvador Araguaya,Mantiqueira,Original Mix,Stream,Track,465,0.02521561868611,0.95,0.023954837751805,DEBE72300206,5054287276899,Facebook
Tropical Twista Records,TTR001,Various Artists,V/A - Tropical Twista Records Vol. 1,Salvador Araguaya,Mantiqueira,Original Mix,Stream,Track,526,0.02060620497532,0.95,0.019575894726554,DEBE72300206,5054287276899,Instagram
Tropical Twista Records,TTR001,Various Artists,V/A - Tropical Twista Records Vol. 1,Salvador Araguaya,Mantiqueira,Original Mix,Stream,Track,2,0.0183372629922,0.95,0.01742039984259,DEBE72300206,5054287276899,Tidal
Tropical Twista Records,TTR001,Various Artists,V/A - Tropical Twista Records Vol. 1,Salvador Araguaya,Mantiqueira,Original Mix,Stream,Track,1,0.00272158628171,0.95,0.0025855069676245,DEBE72300206,5054287276899,TikTok
Tropical Twista Records,TTR001,Various Artists,V/A - Tropical Twista Records Vol. 1,Salvador Araguaya,Mantiqueira,Original Mix,Stream,Track,153,0.11471174561214,0.95,0.10897615833153,DEBE72300206,5054287276899,YouTube
