Label Name,Catalog,Release Artist,Release Name,Track Artist,Track Title,Mix Name,Format,Sale Type,Qty,Value,Deal,Royalty,ISRC,EAN,Store Name
Tropical Twista Records,TTR002,Ibu Selva,Ngo - Bo Sontg - Pa,Ibu Selva,Milonga,Original Mix,Digital Downloads,Track,3,2.309495201374,0.95,2.1940204413053,US83Z2005182,853565786724,Beatport
Tropical Twista Records,TTR003,Kurup,Macaúba,Kurup,Forasteiro,Original Mix,Digital Downloads,Track,1,0.95427058667885,0.95,0.90655705734491,US83Z2014033,853565815998,Beatport
Tropical Twista Records,TTR003,Kurup,Macaúba,Kurup,Xotedub Para Orfeu,Original Mix,Digital Downloads,Track,1,0.95427058667885,0.95,0.90655705734491,US83Z2014035,853565815998,Beatport
Tropical Twista Records,TTR003,Kurup,Macaúba,Kurup,Macaúba,Original Mix,Digital Downloads,Track,1,0.95427058667885,0.95,0.90655705734491,US83Z2014032,853565815998,Beatport
Tropical Twista Records,TTR003,Kurup,Macaúba,Kurup,Três Mulheres De Xangô,Original Mix,Stream,Track,1,0.0638004581605,0.95,0.060610435252475,US83Z2014031,853565815998,Beatport Link
Tropical Twista Records,TTR003,Kurup,Macaúba,Kurup,Forasteiro,Original Mix,Stream,Track,3,0.26926853613166,0.95,0.25580510932508,US83Z2014033,853565815998,Beatport Link
Tropical Twista Records,TTR003,Kurup,Macaúba,Kurup,Macaúba,Original Mix,Stream,Track,2,0.18410278545628,0.95,0.17489764618347,US83Z2014032,853565815998,Beatport Link
Tropical Twista Records,TTR003,Kurup,Macaúba,Kurup,Surf Na Mata,Original Mix,Stream,Track,1,0.08516575067538,0.95,0.080907463141611,US83Z2014034,853565815998,Beatport Link
Tropical Twista Records,TTR069,Dos Kanye,Contraa,Dos Kanye feat. Shaman Shaman,Contraa,Original Mix,Stream,Track,7,0.0376244245,0.95,0.035743203275,DEBE72100448,0844216054460,Apple Music
Tropical Twista Records,TTR069,Dos Kanye,Contraa,Dos Kanye feat. Shaman Shaman,Contraa,Original Mix,Stream,Track,50,0.0010760069,0.95,0.001022206555,DEBE72100448,0844216054460,Facebook
Tropical Twista Records,TTR069,Dos Kanye,Contraa,Dos Kanye feat. Shaman Shaman,Contraa,Original Mix,Stream,Track,50,0.0011555045186,0.95,0.00109772929267,DEBE72100448,0844216054460,Instagram
Tropical Twista Records,TTR069,Dos Kanye,Contraa,Dos Kanye feat. Shaman Shaman,Contraa,Original Mix,Stream,Track,4,0.00106933755145,0.95,0.0010158706738775,DEBE72100448,0844216054460,Resso
Tropical Twista Records,TTR069,Dos Kanye,Contraa,Dos Kanye feat. Shaman Shaman,Contraa,Original Mix,Stream,Track,23,0.06978963680816,0.95,0.066300154967752,DEBE72100448,0844216054460,Spotify
Tropical Twista Records,TTR069,Dos Kanye,Contraa,Dos Kanye feat. Shaman Shaman,Contraa,Original Mix,Stream,Track,6,0.00085740257202,0.95,0.000814532443419,DEBE72100448,0844216054460,YouTube
Tropical Twista Records,TTR069,Dos Kanye,Contraa,Dos Kanye,Kibutz Jungle,Original Mix,Stream,Track,7,0.02211990465392,0.95,0.021013909421224,DEBE72100449,0844216054460,Spotify
Tropical Twista Records,TTR069,Dos Kanye,Contraa,Dos Kanye,Calamara,Original Mix,Stream,Track,3,0.00741166368968,0.95,0.007041080505196,DEBE72100450,0844216054460,Spotify
Tropical Twista Records,TTR069,Dos Kanye,Contraa,Dos Kanye,Calamara,Original Mix,Stream,Track,1,0.0011321995053,0.95,0.001075589530035,DEBE72100450,0844216054460,TikTok
Tropical Twista Records,TTR069,Dos Kanye,Contraa,Dos Kanye,Calamara,Original Mix,Stream,Track,1,0.00510500296018,0.95,0.004849752812171,DEBE72100450,0844216054460,YouTube
Tropical Twista Records,TTR069,Dos Kanye,Contraa,Dos Kanye,Cubia,Original Mix,Stream,Track,1,0.01126763674377,0.95,0.010704254906581,DEBE72100451,0844216054460,Amazon Music Unlimited
Tropical Twista Records,TTR069,Dos Kanye,Contraa,Dos Kanye,Cubia,Original Mix,Stream,Track,2,0.0088059586,0.95,0.00836566067,DEBE72100451,0844216054460,Apple Music
Tropical Twista Records,TTR069,Dos Kanye,Contraa,Dos Kanye,Cubia,Original Mix,Stream,Track,8,0.0039668159996,0.95,0.00376847519962,DEBE72100451,0844216054460,Resso
Tropical Twista Records,TTR069,Dos Kanye,Contraa,Dos Kanye,Cubia,Original Mix,Stream,Track,12,0.04024139009682,0.95,0.038229320591979,DEBE72100451,0844216054460,Spotify
Tropical Twista Records,TTR069,Dos Kanye,Contraa,Dos Kanye,Cubia,Original Mix,Stream,Track,1,0.0011321995053,0.95,0.001075589530035,DEBE72100451,0844216054460,TikTok
Tropical Twista Records,TTR069,Dos Kanye,Contraa,Dos Kanye,Cubia,Original Mix,Stream,Track,6,0.00032584589109,0.95,0.0003095535965355,DEBE72100451,0844216054460,YouTube
Tropical Twista Records,TTR069,Dos Kanye,Contraa,Dos Kanye,Contraa,Carla Valenti Remix,Stream,Track,1,0.0026563279,0.95,0.002523511505,DEBE72100452,0844216054460,Apple Music
Tropical Twista Records,TTR069,Dos Kanye,Contraa,Dos Kanye,Contraa,Carla Valenti Remix,Stream,Track,3,0.00685832037228,0.95,0.006515404353666,DEBE72100452,0844216054460,Spotify
Tropical Twista Records,TTR069,Dos Kanye,Contraa,Dos Kanye,Kibutz Jungle,Feller Remix,Stream,Track,6,0.01863883859836,0.95,0.017706896668442,DEBE72100453,0844216054460,Spotify
Tropical Twista Records,TTR069,Dos Kanye,Contraa,Dos Kanye,Calamara,DJ Nirso Remix,Stream,Track,8,0.02286360061082,0.95,0.021720420580279,DEBE72100454,0844216054460,Spotify
Tropical Twista Records,TTR069,Dos Kanye,Contraa,Dos Kanye,Calamara,DJ Nirso Remix,Stream,Track,7,0.00211473315922,0.95,0.002008996501259,DEBE72100454,0844216054460,YouTube
Tropical Twista Records,TTR069,Dos Kanye,Contraa,Dos Kanye,Cubia,Uriah Klapter Remix,Stream,Track,6,0.0163997156,0.95,0.01557972982,DEBE72100455,0844216054460,Apple Music
Tropical Twista Records,TTR069,Dos Kanye,Contraa,Dos Kanye,Cubia,Uriah Klapter Remix,Stream,Track,2,0.00731099485143,0.95,0.0069454451088585,DEBE72100455,0844216054460,Pandora
Tropical Twista Records,TTR069,Dos Kanye,Contraa,Dos Kanye,Cubia,Uriah Klapter Remix,Stream,Track,2,0.0036481734887,0.95,0.003465764814265,DEBE72100455,0844216054460,Spotify
Tropical Twista Records,TTR069,Dos Kanye,Contraa,Dos Kanye,Cubia,Uriah Klapter Remix,Stream,Track,1,0.00087469667097,0.95,0.0008309618374215,DEBE72100455,0844216054460,YouTube
Tropical Twista Records,TTR075,Franca,Microdosing,Franca,Microdosing,Original Mix,Digital Downloads,Track,2,1.0905949562044,0.95,1.0360652083942,DEBE72100444,0844216054453,Beatport
Tropical Twista Records,TTR075,Franca,Microdosing,Franca,Microdosing,Original Mix,Digital Downloads,Track,1,0.7349523853,0.95,0.698204766035,DEBE72100444,0844216054453,iTunes
