Label Name,Catalog,Release Artist,Release Name,Track Artist,Track Title,Mix Name,Format,Sale Type,Qty,Value,Deal,Royalty,ISRC,EAN,Store Name
Tropical Twista Records,,TEST,Test,BirdZzie,Diabo A Sete - En Tu Puerta Estamos Cuatro,BirdZzie Remix,Stream,Track,322,6.7482345267416,0.95,6.4108228004045,QZNRS2038186,,SoundCloud
Tropical Twista Records,,TEST,Test,Kurup,Oasis,Original Mix,Stream,Track,3,0.00851721231672,0.95,0.008091351700884,QZHPJ2264281,,SoundCloud
Tropical Twista Records,,TEST,Test,Gonz Cabrera,Pedacitos,Original Mix,Stream,Track,14,0.07594852456993,0.95,0.072151098341433,QZKDK2389020,,SoundCloud
Tropical Twista Records,,TEST,Test,Antonio Carlos & Jocafi,Ossain,Nirso Remix,Stream,Track,5,0.00043482070109,0.95,0.0004130796660355,QZNRS2038376,,SoundCloud
Tropical Twista Records,,TEST,Test,Joaquín Cornejo,Lampião e Maria Bonita,Original Mix,Stream,Track,5,0.0256838672832,0.95,0.02439967391904,QZHPJ2280254,,SoundCloud
Tropical Twista Records,,TEST,Test,Yaguareté,Villa-Lobos - Bachianas Brasileiras N5,Yaguareté Rework,Stream,Track,1,0.00056997194297,0.95,0.0005414733458215,QZJRB1957380,,SoundCloud
Tropical Twista Records,,TEST,Test,Maria Bethânia,As Ayabás,Francis Etto - All is Axé Edit,Stream,Track,6,0.25363933032052,0.95,0.24095736380449,QZJRB1957344,,SoundCloud
Tropical Twista Records,,TEST,Test,Eve Hive,Festa Na Floresta,Original Mix,Stream,Track,3,0.04806623918871,0.95,0.045662927229275,QZH5E2208194,,SoundCloud
Tropical Twista Records,,TEST,Test,Virginia Rodrigues,Negrume Da Noite,AIWAA Edit,Stream,Track,27,0.23792294606932,0.95,0.22602679876585,QZNRS2038209,,SoundCloud
Tropical Twista Records,,TEST,Test,Cantina Y Su Combo,Santa Marta Cumbia,Nacho Libre Remix,Stream,Track,13,0.06570363414078,0.95,0.062418452433741,QZNRS2038336,,SoundCloud
Tropical Twista Records,,TEST,Test,Hajna,Spiral Surf,Original Mix,Stream,Track,6,0.01782851712297,0.95,0.016937091266822,QZTH92357831,,SoundCloud
Tropical Twista Records,,TEST,Test,DJ Danifox,Selva de Metal,Original Mix,Stream,Track,1,0.00343080480186,0.95,0.003259264561767,QZHPJ2264277,,SoundCloud
Tropical Twista Records,,TEST,Test,Numa Gama,Engarrafados,Original Mix,Stream,Track,1,0.00049860703487,0.95,0.0004736766831265,QZHPJ2264273,,SoundCloud
Tropical Twista Records,,TEST,Test,Abu Selva,Senhora dos Pântanos,Original Mix,Stream,Track,2,0.0104771421544,0.95,0.00995328504668,QZHPJ2280256,,SoundCloud
Tropical Twista Records,,TEST,Test,"Quantic, Los Miticos Del Ritmo",Cumbia Comejen,Nacho Libre Remix,Stream,Track,3,0.20216517993984,0.95,0.19205692094285,QZNRS2038399,,SoundCloud
Tropical Twista Records,,TEST,Test,Juaneco Y Su Combo,Ya Se Ha Muerto Mi Abuelo,Nacho Libre Remix,Stream,Track,3,0.00503714678185,0.95,0.0047852894427575,QZNRS2038400,,SoundCloud
Tropical Twista Records,,TEST,Test,"Quantic, Los Miticos Del Ritmo",Cuarta Con Cuarta,Nacho Libre Remix,Stream,Track,2,0.1122245546614,0.95,0.10661332692833,QZNRS2038396,,SoundCloud
Tropical Twista Records,,TEST,Test,Sonikgroove,Sonikgroove,DJ Nirso Remix,Stream,Track,1,0.04130520358158,0.95,0.039239943402501,QZNRS2038317,,SoundCloud
Tropical Twista Records,TTR001,Various Artists,V/A - Tropical Twista Records Vol. 1,Maddox,Xama,Original Mix,Digital Downloads,Track,1,0.6184544301,0.95,0.587531708595,DEBE72300212,5054287276899,iTunes
Tropical Twista Records,TTR001,Various Artists,V/A - Tropical Twista Records Vol. 1,Psilosamples,Yeye,Original Mix,Digital Downloads,Track,1,0.6184544301,0.95,0.587531708595,DEBE72300221,5054287276899,iTunes
Tropical Twista Records,TTR001,Various Artists,V/A - Tropical Twista Records Vol. 1,"Spaniol, Burkamina",Peyote,Original Mix,Digital Downloads,Track,1,0.6184544301,0.95,0.587531708595,DEBE72300224,5054287276899,iTunes
Tropical Twista Records,TTR001,Various Artists,V/A - Tropical Twista Records Vol. 1,Salvador Araguaya,Mantiqueira,Original Mix,Stream,Track,5,0.019773066,0.95,0.0187844127,DEBE72300206,5054287276899,Apple Music
Tropical Twista Records,TTR001,Various Artists,V/A - Tropical Twista Records Vol. 1,Salvador Araguaya,Mantiqueira,Original Mix,Stream,Track,5,0.01980810913159,0.95,0.018817703675011,DEBE72300206,5054287276899,Deezer
